測位方式,測位回数(0:無限),測位タイムアウト,測位間隔,minTime,SUPLEND待ち時間,アシストデータ削除時間,アシストデータ削除有無
Tracking,0,60,75,0,0,3,true,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
19:11:08.024,19:11:08.024,true,35.22404809,139.67277625,1.005,3.7900925,1626171068000,2021-07-13T19:11:08GMT+09:00
19:11:09.031,19:11:09.031,true,35.22404441,139.67277682,1.007,3.7900925,1626171069000,2021-07-13T19:11:09GMT+09:00
19:11:10.019,19:11:10.019,true,35.22404144,139.67277351,0.988,3.7900925,1626171070000,2021-07-13T19:11:10GMT+09:00
19:11:11.033,19:11:11.033,true,35.22403931,139.67277047,1.014,3.7900925,1626171071000,2021-07-13T19:11:11GMT+09:00
19:11:12.029,19:11:12.029,true,35.2240383,139.67276801,0.996,3.7900925,1626171072000,2021-07-13T19:11:12GMT+09:00
19:11:13.024,19:11:13.024,true,35.22403747,139.67276412,0.995,3.7900925,1626171073000,2021-07-13T19:11:13GMT+09:00
19:11:14.036,19:11:14.036,true,35.22403626,139.67276209,1.012,3.7900925,1626171074000,2021-07-13T19:11:14GMT+09:00
19:11:15.025,19:11:15.025,true,35.2240356,139.67276224,0.989,3.7900925,1626171075000,2021-07-13T19:11:15GMT+09:00
19:11:16.023,19:11:16.023,true,35.22403535,139.67276275,0.998,3.7900925,1626171076000,2021-07-13T19:11:16GMT+09:00
19:11:17.024,19:11:17.024,true,35.22403238,139.67276942,1.001,3.7900925,1626171077000,2021-07-13T19:11:17GMT+09:00
19:11:18.023,19:11:18.023,true,35.22403093,139.67277363,0.999,3.7900925,1626171078000,2021-07-13T19:11:18GMT+09:00
19:11:19.029,19:11:19.029,true,35.22403028,139.67277263,1.006,3.7900925,1626171079000,2021-07-13T19:11:19GMT+09:00
19:11:20.029,19:11:20.029,true,35.22402954,139.67277189,1.0,3.7900925,1626171080000,2021-07-13T19:11:20GMT+09:00
19:11:21.029,19:11:21.029,true,35.22402945,139.67277174,1.0,3.7900925,1626171081000,2021-07-13T19:11:21GMT+09:00
